"会社名","住所","電話番号","WebサイトURL","Google評価","レビュー数","都道府県","place_id","メールアドレス","メール取得元URL"
"プリントハウス 白石店｜総合商研㈱","〒003-0011 北海道札幌市白石区中央１条４丁目３−９４","011-812-0900","http://sapporo-print.com/","4.6","15","北海道","ChIJgTSQ78QrC18RSwwP6Lh5fAE","",""
"PrintShop IPJ","〒060-0061 北海道札幌市中央区南１条西１０丁目４ 愛知電機札幌ビル 2F","011-211-5614","http://p-ipj.com/","4","1","北海道","ChIJk7odJIMpC18RpucqY96gvUA","",""
"三室印房","〒001-0017 北海道札幌市北区北１７条西４丁目２−３ ライオンズマンション北大前 第２","011-374-1551","https://www.mimuro-inbo.com/","4.7","6","北海道","ChIJWQNfUAApC18RDK86kD5Bt74","office@mimuro-inbo.jp; office@mumuro-inbo.jp","https://www.mimuro-inbo.com/"
"㈱佐藤印舗","〒060-0063 北海道札幌市中央区南３条西１丁目","011-231-1818","https://maps.google.com/?cid=9078097066779139933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","3","北海道","ChIJScZiroMpC18RXd_iNS_h-30","",""
"㈱山岸コピーセンター","〒060-0005 北海道札幌市中央区北５条西１４丁目１−８ 第一衣料ビル ５階","011-222-7461","https://www.dynatec89.co.jp/","5","2","北海道","ChIJkzBNGqMpC18R_74z-e1qmEo","yamagishi-copycenter@dynatec89.co.jp; yamagishi-tomakomai@dynatec89.co.jp","https://www.dynatec89.co.jp/"
"㈱エール","〒060-0004 北海道札幌市中央区北４条西１７丁目１９−１６ エール","011-642-0305","http://www.ye-ll.co.jp/","5","2","北海道","ChIJZSnI-7wpC18Rh6WCXBAcjn8","",""
"㈲印名堂","〒062-0904 北海道札幌市豊平区豊平４条２丁目６−１ 印名堂","011-811-4440","https://maps.google.com/?cid=14166753874930641448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","5","北海道","ChIJy3LKuCoqC18RKCqhL5drmsQ","",""
"プリントショップ プレボ","〒060-0062 北海道札幌市中央区南２条西１３丁目３１８−１８ 1階","011-788-7731","https://printprevo.jp/","4.7","6","北海道","ChIJT58KdZEpC18RKQ1yksNpb7M","",""
"株式会社 プリントパック 札幌支店","〒060-0807 北海道札幌市北区北７条西１丁目１−２","011-738-3151","http://www.printpac.co.jp/","","0","北海道","ChIJmS09TXMpC18RX0CbUn3AAY4","",""
"プロセス レボ","〒060-0062 北海道札幌市中央区南２条西１３丁目","011-271-5201","http://www.prevo.jp/","5","1","北海道","ChIJWzyNV8IpC18R44GfVNzPzOE","",""
"らくらく印刷 札幌事業所｜㈱バンビーノ","〒007-0848 北海道札幌市東区北４８条東７丁目４−１２ アマトスビル 2階","011-211-1166","https://rakurakuprint.com/","5","4","北海道","ChIJbf27DngpC18R-8SgMPaLa-I","info@rakurakuprint.com","https://rakurakuprint.com/"
"藤原名刺店","〒064-0913 北海道札幌市中央区南１３条西８丁目１−４","011-562-3707","https://maps.google.com/?cid=930747613385044585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","北海道","ChIJjyrGwiEqC18RabJb5wWu6gw","",""
"㈱北海道印刷センター","〒063-0051 北海道札幌市西区宮の沢１条２丁目７−８","011-662-0723","http://www.hpcweb.com/","4.8","4","北海道","ChIJC7aRpnIoC18RmopKd8VHZaU","hpc@plum.plala.or.jp","http://www.hpcweb.com/"
"北海道広告社 / エイトノット㈱","〒060-0005 北海道札幌市中央区北５条西９丁目11−番地 シャトーブラン59 2階","011-876-8221","http://www.h-ad.com/","4","4","北海道","ChIJlzNz24opC18ReEUUhTX8w6k","print@h-ad.com","http://www.h-ad.com/"
"㈲キーワード","〒065-0023 北海道札幌市東区北２３条東５丁目４−５ 北海道設計ビル 1F","011-613-3019","http://simpleprint.key-word.co.jp/","5","2","北海道","ChIJkQjhL7EpC18RG0uhfMKCmZs","simpleprint@key-word.co.jp","http://simpleprint.key-word.co.jp/"
"ニッシンドー㈱","〒062-0936 北海道札幌市豊平区平岸６条１２丁目１１−２","011-837-9636","https://www.nissindou.co.jp/","5","3","北海道","ChIJn3UlmFwqC18Rb_ftcJ4-JSA","",""
"明文堂印刷㈱","〒064-0803 北海道札幌市中央区南３条西２３丁目１−２２","011-611-0411","https://meibundo0411.com/","5","1","北海道","ChIJUfrCv-spC18Rj2GGTW3EDwg","",""
"㈱プリオンデ","〒060-0042 北海道札幌市中央区大通西７丁目 ダイヤビル 7階","011-218-5675","http://www.prionde.co.jp/","5","1","北海道","ChIJuyy_xYQpC18RD79G3uzrdTU","",""
"㈱アイワード","〒060-0033 北海道札幌市中央区北３条東５丁目５−９１","011-241-9341","https://iword.co.jp/","4.4","5","北海道","ChIJiw5oBnEpC18REDOxSWttIZo","",""
"職人工房 新道店","〒007-0871 北海道札幌市東区伏古１１条３丁目１−４５ コープさっぽろ新道店 １階","011-781-4169","https://webmaster9665.wixsite.com/shokunin-kobo","1.8","23","北海道","ChIJ_4aKb8UuC18RUQ2Tca3fhCs","",""
"㈲北川印刷","〒062-0033 北海道札幌市豊平区西岡３条１１丁目５−７ 北川印刷","011-582-1255","https://maps.google.com/?cid=14813225399277364356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.7","3","北海道","ChIJU-NYxJ8qC18RhKS4TQQmk80","",""
"㈲コピントハウス フタバ社","〒003-0029 北海道札幌市白石区平和通3丁目５−北5-12","011-862-4354","https://maps.google.com/?cid=17357413156231571792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.5","2","北海道","ChIJVUbOD-srC18RUOnfVE3r4fA","",""
"ホクラミ","〒064-0809 北海道札幌市中央区南９条西１２丁目２−３０","011-512-3378","https://hokulami.com/","5","3","北海道","ChIJWyg9yPQpC18Ri64qEZs-q2w","",""
"㈲山田印章印刷 野幌店","〒069-0813 北海道江別市野幌町５０−３６","011-385-2924","http://yamada-ii.jimdo.com/","4.7","7","北海道","ChIJWdCaWowtC18RGJipfX9laUI","",""
"東洋㈱ 札幌支社","〒060-0907 北海道札幌市東区北７条東３丁目２８−３２","011-792-9110","https://www.toyo-grp.co.jp/","4","1","北海道","ChIJEcJJox0pC18RmqyVmkruawE","info@toyo-grp.co.jp","https://www.toyo-grp.co.jp/contact"
"㈱正文舎","〒003-0802 北海道札幌市白石区菊水２条１丁目４−２７","011-811-7151","https://www.syoubunsya.co.jp/","3.6","11","北海道","ChIJWzvYk34pC18RWmc7W0WYn-U","",""
"FAIRY DESIGN（フェアリーデザイン）","〒064-0805 北海道札幌市中央区南５条西６丁目18−１ HBNビル B1F","011-213-1602","http://www.fairydesign-sapporo.com/photo/","","0","北海道","ChIJJwoQLIYpC18RtHyBtvPiOUk","",""
"アクセアカフェ札幌アスティ45店","〒060-0004 北海道札幌市中央区北４条西５丁目１ アスティ４５ Ｂ１Ｆ","011-206-6971","https://cafe.accea.co.jp/map/sapporo_asty45.php","4.2","16","北海道","ChIJ1ckoyT4pC18RXOL-xvfErJk","",""
"㈲平松印房","〒001-0012 北海道札幌市北区北１２条西２丁目２−１８","011-726-4556","https://maps.google.com/?cid=5764955866362120193&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJX3LaTg4pC18RAYhRANE8AVA","",""
"㈲札幌活版印刷","〒064-0807 北海道札幌市中央区南７条西１４丁目１−１４ 喜多ビル","011-561-6671","http://www.sapporo-kappan.com/","2.5","2","北海道","ChIJ29U0MI0pC18RwgzJAy1BVN8","",""
"㈱富士名刺","〒060-0061 北海道札幌市中央区南１条西５丁目","011-231-4126","https://maps.google.com/?cid=9702495923170257367&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJi9LWTpspC18R1yk916IwpoY","",""
"㈲谷越印刷","〒007-0810 北海道札幌市東区東苗穂１０条３丁目１８−１ 谷越印刷","011-791-6789","https://denpking.com/","4.7","3","北海道","ChIJnzkpV-kuC18RA_s79A8tPfs","shopmaster@denpking.com","https://denpking.com/company"
"㈲葛西名刺店","〒003-0801 北海道札幌市白石区菊水１条２丁目９−１","011-811-2562","https://maps.google.com/?cid=10487986912008399901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1","1","北海道","ChIJXcSgKH4pC18RHew0W4fQjJE","",""
"㈱プリプレス･センター 札幌本社","〒064-0810 北海道札幌市中央区南１０条西８丁目４−１","011-206-7654","https://pripress.co.jp/","3.3","8","北海道","ChIJZ30gH4UpC18RAOSDBi5lCnc","",""
"㈱NIREPLUS","〒065-0021 北海道札幌市東区北２１条東１丁目４−６","011-792-7762","http://www.nire-net.co.jp/","5","2","北海道","ChIJOf0OvwwpC18R8pRhXuP2WnQ","nire-net@nirenet.com","http://www.nire-net.co.jp/contact"
"漸㈱","〒062-0903 北海道札幌市豊平区豊平３条１２丁目１−１６","011-821-7413","http://www.zen-kk.com/company.html","3","1","北海道","ChIJXUvwNDMqC18RoJOpRgN-g4Y","zenkk@aurora.ocn.ne.jp","http://www.zen-kk.com/company.html"
"㈱ユウ･プリント","〒003-0805 北海道札幌市白石区菊水５条３丁目２−１４","011-611-1505","http://you-print.co.jp/","4","1","北海道","ChIJMXL-j7QpC18RHff3WHX32uo","",""
"チラシデザインのG-デザイン事務所","〒060-0052 北海道札幌市中央区南２条東２丁目16 センターオフィス大通東","","https://g-design-japan.jimdofree.com/","","0","北海道","ChIJE7pJVk4pC18RhotqR_msSCs","",""
"岩橋印刷㈱","〒063-0062 北海道札幌市西区西町南１８丁目１−３４","011-669-2500","http://www.iwahashi-printing.co.jp/","4.3","3","北海道","ChIJZf0IlRQoC18RCTnJ2SYfoLo","",""
"幡本印刷㈱","〒063-0830 北海道札幌市西区発寒１０条１４丁目１０６７−３","011-666-1111","https://www.hatamoto.cc/","4.3","4","北海道","ChIJry0JStYnC18RfCCja-TXDag","",""
"㈱須田製版","〒063-0802 北海道札幌市西区二十四軒２条６丁目１−８","011-621-1000","https://www.suda.co.jp/","3.8","13","北海道","ChIJZ-a_JbQpC18RvzjtZsAunxI","sudaseihan@suda.co.jp","https://www.suda.co.jp/"
"山藤三陽印刷㈱","〒063-0051 北海道札幌市西区宮の沢１条４丁目１６−１","011-661-7161","https://www.sando-sanyo.co.jp/","4.5","6","北海道","ChIJEbG_UAsoC18RyDCqt9pctOw","",""
"㈲SKプリント","〒065-0033 北海道札幌市東区北３３条東１６丁目１−１７","011-781-5725","https://maps.google.com/?cid=17277105670802693619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJk6aflywvC18R890UzxGcxO8","",""
"北陽ビジネスフォーム㈱","〒007-0868 北海道札幌市東区伏古８条２丁目２−２１","011-785-6767","http://www.hokuyou-bf.co.jp/gaiyou.html","3.7","11","北海道","ChIJ0_a43c0uC18RtDg2DPKucW4","",""
"㈱アイム","〒063-0062 北海道札幌市西区西町南１９丁目４−１０","011-665-2648","http://www.aimry.co.jp/","5","3","北海道","ChIJu6hEwV4pC18REe7OI7GDScE","",""
"㈱アルファビジネス","〒060-0906 北海道札幌市東区北６条東４丁目１−７ deAUNE SAPPORO 3F","011-741-7998","http://alpha-business.co.jp/","","0","北海道","ChIJITBCUnIpC18RTyS5xVGVY2w","data@alpha-business.co.jp","http://alpha-business.co.jp/"
"マスダ印刷","日本、〒065-0041 北海道札幌市東区本町１条３丁目６","","https://maps.google.com/?cid=3039067652000762107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","2","北海道","ChIJsducY0YpC18R-8jihe3vLCo","",""
"豊昇堂印刷㈱","〒003-0027 北海道札幌市白石区本通５丁目北２−２８","011-598-0352","https://www.hoshodo.jp/","","0","北海道","ChIJgzjJyDIqC18RBE2uhXCx27w","",""
"北あーと株式会社","〒060-0808 北海道札幌市北区北８条西６丁目２−６","080-3237-3102","http://kitaart.main.jp/","","0","北海道","ChIJExT5JfspC18RQwVPrVRgfCc","",""
"蝦夷活版 みどり堂","〒003-0021 北海道札幌市白石区栄通７丁目１−２１ オニオンビル 102","011-826-6339","https://maps.google.com/?cid=16931628745993979707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJf4pTvgQrC18RO4fDCaM6-eo","",""
"三条印刷㈱","〒065-0010 北海道札幌市東区北１０条東１３丁目２−１０","011-742-2769","https://ssjjoo.com/","2.3","3","北海道","ChIJt0UYakApC18RKbHI-EWryHY","",""
"白馬堂印刷㈱","〒064-0823 北海道札幌市中央区北３条西２５丁目１−２１","011-621-1471","https://hakubado.co.jp/","3.4","8","北海道","ChIJTYD2qMApC18RITpsGx8h-Go","eigyoukanri@hakubado.co.jp","https://hakubado.co.jp/"
"北海道印刷企画㈱","〒064-0811 北海道札幌市中央区南１１条西９丁目３−３５","011-562-0075","http://www.hpp-c.jp/","5","2","北海道","ChIJVao0BSAqC18Rnqs1wli77_M","",""
"三元社印刷㈱","〒060-0031 北海道札幌市中央区北１条東１２丁目","011-241-1841","https://www.sangensha.net/","4","2","北海道","ChIJM9Y7uGUpC18RN2yzL0uql6I","",""
"㈱日光印刷 札幌支店","〒065-0014 北海道札幌市東区北１４条東８丁目３−１ 2階","011-299-6063","https://www.nikko-print.com/","4","1","北海道","ChIJjfmBjXYpC18Rshl72a7WQBc","muroran@nikko-print.com","https://www.nikko-print.com/"
"㈲黄田印刷","〒064-0811 北海道札幌市中央区南１１条西１７丁目１−２ 黄田印刷","011-551-0150","https://maps.google.com/?cid=10895641146193331613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","北海道","ChIJXZarx_YpC18RncX7FuUXNZc","",""
"大日本印刷㈱ 札幌営業所","〒065-0007 北海道札幌市東区北７条東１１丁目１−１","011-750-2205","http://www.dnp.co.jp/","3.1","41","北海道","ChIJM1h_zmspC18RRUicRWpc7Ec","",""
"㈱東和プリント","〒060-0006 北海道札幌市中央区北６条西１４丁目１−１ ユーアイＮ６ビル","011-208-5535","https://maps.google.com/?cid=11129745664430976547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.8","4","北海道","ChIJNdfobKMpC18RIy7awLbMdJo","",""
"㈱青工","〒060-0033 北海道札幌市中央区北３条東７丁目３４２ 石川ビル","011-221-2889","https://www.seikoh.jp/","4.3","4","北海道","ChIJs7B2NHApC18R-BbwcS8wuZs","",""
"㈱シモクニ","〒006-0006 北海道札幌市中央区北６条西１５丁目３","011-631-4865","http://www.shimokuni.jp/","3.2","6","北海道","ChIJm8ct_KMpC18RIAaaB9DOeqM","",""
"㈱印刷紙工","〒064-0915 北海道札幌市中央区南１５条西１８丁目１−１ 印刷紙工","011-561-3597","http://insatsu-shiko.com/","5","3","北海道","ChIJL1kdjwIqC18RB2_e9I_p2r4","",""
"プリント・ステーション","日本、〒060-0052 北海道札幌市中央区南２条東２丁目","090-2989-0155","https://maps.google.com/?cid=6489313127124295852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","北海道","ChIJr0taYoIpC18RrOCFQuirDlo","",""
"中西印刷㈱","〒007-0823 北海道札幌市東区東雁来３条１丁目１−３４","011-781-7501","http://www.nakanishi-printing.co.jp/","4.7","3","北海道","ChIJPQM3CbIuC18RcWp3M4NKlm4","owlnet@nakanishi-printing.co.jp","http://www.nakanishi-printing.co.jp/"
"三浦印刷㈱ 本社","〒064-0809 北海道札幌市中央区南９条西６丁目４２１−７","011-511-6191","https://maps.google.com/?cid=9016498166988463830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3","2","北海道","ChIJa8Q-wIkpC18R1t5OuU8JIX0","",""
"日進堂印刷㈱","〒003-0805 北海道札幌市白石区菊水５条３丁目６−９","011-813-1757","https://www.card-print.jp/","3.7","3","北海道","ChIJ-_XA79YrC18Rw3EpycYsRCE","info@card-print.jp","https://www.card-print.jp/"
"共立印刷㈱ 札幌営業所","〒001-0015 北海道札幌市北区北１５条西４丁目２−１６ ＮＲＫビル","011-700-5311","https://maps.google.com/?cid=10269042791050618217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJLbFiPgUpC18RaaXbvwL4go4","",""
"TOPPAN㈱ 北海道事業部 札幌工場","〒063-0804 北海道札幌市西区二十四軒４条１丁目１−３０","011-614-6111","https://maps.google.com/?cid=6705441615988027098&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.2","56","北海道","ChIJ449DeFIoC18R2m4Wb5-DDl0","",""
"谷川印刷㈱","〒060-0004 北海道札幌市中央区北４条西７丁目３","011-271-5977","https://maps.google.com/?cid=15409914954195316911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJcZujcp8pC18Rr7DKbwEE29U","",""
"北海道通信印刷㈱","〒060-0005 北海道札幌市中央区北５条西６丁目","011-222-3317","https://maps.google.com/?cid=1816260249016534243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJl7HM8J8pC18R4wRL0hKnNBk","",""
"NTSプリント工房㈱","〒060-0031 北海道札幌市中央区北１条東１丁目2−５","011-330-0000","http://www.nts-pk.co.jp/","3","1","北海道","ChIJi1m2sncpC18Re7WP1xLWL5Q","",""
"㈱北晃社斎加印刷所","〒063-0861 北海道札幌市西区八軒１条東５丁目２−１５ 北晃社斎加印刷所","011-631-1271","https://maps.google.com/?cid=1862349401230296804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1","1","北海道","ChIJE3hxL1MoC18R5Eb-y-lk2Bk","",""
"藤田印刷㈱ 札幌支社","〒060-0007 北海道札幌市中央区北７条西１５丁目28−２５","011-215-5355","https://maps.google.com/?cid=12793606075792980408&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJw3i-j6QpC18RuHnrR_EEjLE","",""
"㈲たけはらプリントメディカァート","〒064-0912 北海道札幌市中央区南１２条西１３丁目２−１０ ＥＭＢＬＥＭ竹原","011-561-9305","https://maps.google.com/?cid=11472197245225719605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJh3ZoGx4qC18RNdfkupxuNZ8","",""
"旭プリント","〒063-0821 北海道札幌市西区発寒１条４丁目２−１１","011-666-4040","https://maps.google.com/?cid=10836509663392418677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","2.5","4","北海道","ChIJFS0uVEYoC18RdcuX4x8EY5Y","",""
"㈲太田印刷","〒064-0923 北海道札幌市中央区南２３条西１１丁目１−３９ 太田印刷","011-561-8764","https://maps.google.com/?cid=1417729364073037638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","北海道","ChIJqW_AIwwqC18RRr82XVjJrBM","",""
"㈲斎藤印刷","〒063-0804 北海道札幌市西区二十四軒４条４丁目１−３１ 斎藤印刷","011-631-4988","https://maps.google.com/?cid=6212707773730532566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3","1","北海道","ChIJS3iL8kwoC18R1iyEys34N1Y","",""
"大阪シーリング印刷㈱ 札幌営業所","〒060-0005 北海道札幌市中央区北５条西６丁目２−２ 札幌センタービル","011-272-5621","https://www.osp.co.jp/","","0","北海道","ChIJc7wP9Z8pC18R2cd9QUL2Hbs","",""
"横山印刷所","〒060-0807 北海道札幌市北区北７条西８丁目２−１６","011-716-1834","https://maps.google.com/?cid=14286143759339430682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJ59jFVaApC18RGiOX0Q6UQsY","",""
"㈱北海道ダイヤ 本社","〒060-0061 北海道札幌市中央区南１条西１３丁目 第41ビッグプラザビル Ⅰ","011-221-7666","http://h-daiya.co.jp/","1","1","北海道","ChIJvZR6PJEpC18RnQDdsFd-sV0","",""
"北海道磁気印刷㈱","〒064-0822 北海道札幌市中央区北２条西２０丁目２−３３","011-640-2221","https://www.hmpjiki.co.jp/","","0","北海道","ChIJC_R4RL4pC18RR4js1jHnLNw","info_hmp-640@hmpjiki.co.jp","https://www.hmpjiki.co.jp/"
"印刷･製本の府中プラザ","〒004-0054 北海道札幌市厚別区厚別中央４条２丁目１９−１５ テラウッド厚別 １階","011-378-4600","https://fuchuplaza.jp/","","0","北海道","ChIJ3b-dzfzkGGARHffoQIzp954","cs@fuchuplaza.jp","https://fuchuplaza.jp/"
"㈲天使印刷所","〒007-0868 北海道札幌市東区伏古８条２丁目６−１２ 天使印刷所","011-781-3501","https://tenshimaeda0212.wixsite.com/tenshi-print","4","2","北海道","ChIJIbXyM8wuC18RQRDUtItcFYo","tenship@eos.ocn.ne.jp; tenship@eos.ocn.jp","https://tenshimaeda0212.wixsite.com/tenshi-print"
"古宇田印刷所","〒064-0804 北海道札幌市中央区南４条西２１丁目２−２８","011-561-6796","https://maps.google.com/?cid=9066712809185649738&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJGwx0e-wpC18RSqT-L0Nv030","",""
"㈱道新総合印刷 本社工場","〒061-1274 北海道北広島市大曲工業団地８丁目２−１","011-370-3737","http://www.doshin-insatsu.jp/","3.7","37","北海道","ChIJl4GMnJjVdF8R7FJw8-Ozfrk","",""
"豊平印刷所","〒062-0906 北海道札幌市豊平区豊平６条３丁目２−８","011-811-5434","https://maps.google.com/?cid=14040162306991283552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","北海道","ChIJNyHWlSsqC18RYF0L8Tqt2MI","",""
"㈱道新総合印刷 札幌工場","〒063-0051 北海道札幌市西区宮の沢１条４丁目１４−１","","https://www.doshin-insatsu.jp/","3.9","7","北海道","ChIJPT74rwwoC18RS6nZxC6rCRk","",""
"㈱龍文堂","〒006-0832 北海道札幌市手稲区曙２条５丁目２−５４","011-682-1451","https://ryubundo.co.jp/","3.8","6","北海道","ChIJ7T236g8nC18RDmKjIMWwNbM","",""
"㈱ひらり","〒001-0921 北海道札幌市北区新川１条４丁目１−番１号","011-763-0088","https://www.hirari.co.jp/","3","2","北海道","ChIJMelk1vIoC18RIBr2yoDaLBo","",""
"ひまわり印刷㈱","〒053-0815 北海道苫小牧市永福町２丁目１−２","0144-74-4500","https://www.himamiru.com/","3.9","14","北海道","ChIJsZMixE8RdV8RAIDWsxbEFBY","example@mail.com","https://www.himamiru.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B"
"㈲矢原印刷所","〒065-0011 北海道札幌市東区北１１条東１４丁目１−３ 矢原印刷所","","https://maps.google.com/?cid=4755876963842675028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","2","1","北海道","ChIJ_QKIZEApC18RVFFOoeZEAEI","",""
"札幌大同印刷㈱","〒004-0003 北海道札幌市厚別区厚別区厚別東３条２丁目１−１","011-897-9711","http://www.dioce.co.jp/","2.8","4","北海道","ChIJu4xBFJosC18RLdcHyqcVXzg","",""
